CNNVD,VEDAS
CNNVD-202507-167,0.1735947
CNNVD-202507-166,0.6578571
CNNVD-202507-165,0.1860727
CNNVD-202507-164,0.1719292
CNNVD-202507-163,0.1910548
CNNVD-202507-162,0.3307359
CNNVD-202507-161,0.3370052
CNNVD-202507-160,0.1916288
CNNVD-202507-159,0.1892583
CNNVD-202507-158,0.1921642
CNNVD-202507-157,0.1860928
CNNVD-202507-156,0.1892927
CNNVD-202507-155,0.1892927
CNNVD-202507-154,0.3448527
CNNVD-202507-153,0.3448527
CNNVD-202507-152,0.3338404
CNNVD-202507-151,0.1892927
CNNVD-202507-150,0.1896515
CNNVD-202507-149,0.1896515
CNNVD-202507-148,0.1887876
CNNVD-202507-147,0.1759019
CNNVD-202507-146,0.3325551
CNNVD-202507-145,0.189287
CNNVD-202507-144,0.8290481
CNNVD-202507-143,0.7912627
CNNVD-202507-142,0.6578571
CNNVD-202507-141,0.1886441
CNNVD-202507-140,0.1877344
CNNVD-202507-139,0.1863913
CNNVD-202507-138,0.188073
CNNVD-202507-137,0.6578571
CNNVD-202507-136,0.1903814
CNNVD-202507-135,0.1850243
CNNVD-202507-134,0.6578571
CNNVD-202507-133,0.1876712
CNNVD-202507-132,0.1888163
CNNVD-202507-131,0.1861129
CNNVD-202507-130,0.1912998
CNNVD-202507-129,0.1893071
CNNVD-202507-128,0.1894248
CNNVD-202507-127,0.1894018
CNNVD-202507-126,0.189221
CNNVD-202507-125,0.1860354
CNNVD-202507-124,0.1860498
CNNVD-202507-123,0.1876454
CNNVD-202507-122,0.1860153
CNNVD-202507-121,0.186044
CNNVD-202507-120,0.1860411
CNNVD-202507-119,0.1860067
CNNVD-202507-118,0.1876253
CNNVD-202507-117,0.1880013
CNNVD-202507-116,0.1893731
CNNVD-202507-115,0.1877717
CNNVD-202507-114,0.2942753
CNNVD-202507-113,0.1876741
CNNVD-202507-112,0.1876253
CNNVD-202507-111,0.1860526
CNNVD-202507-110,0.1876626
CNNVD-202507-109,0.1877602
CNNVD-202507-108,0.1860239
CNNVD-202507-107,0.1861645
CNNVD-202507-106,0.1228929
CNNVD-202507-105,0.1228929
CNNVD-202507-104,0.1892353
CNNVD-202507-103,0.186552
CNNVD-202507-102,0.1865348
CNNVD-202507-101,0.1861531
CNNVD-202507-100,0.1861387
CNNVD-202507-099,0.1860957
CNNVD-202507-098,0.1897175
CNNVD-202507-097,0.7238349
CNNVD-202507-096,0.1228929
CNNVD-202507-095,0.186199
CNNVD-202507-094,0.187588
CNNVD-202507-093,0.187588
CNNVD-202507-092,0.1903068
CNNVD-202507-091,0.3313229
CNNVD-202507-090,0.1860813
CNNVD-202507-089,0.1707291
CNNVD-202507-088,0.1746632
CNNVD-202507-087,0.2721069
CNNVD-202507-086,0.1850587
CNNVD-202507-085,0.3355548
CNNVD-202507-084,0.3317063
CNNVD-202507-083,0.1837998
CNNVD-202507-082,0.1860842
CNNVD-202507-081,0.1745682
CNNVD-202507-080,0.3324674
CNNVD-202507-079,0.3312468
CNNVD-202507-078,0.1876109
CNNVD-202507-077,0.1876426
CNNVD-202507-076,0.1876942
CNNVD-202507-075,0.6377651
CNNVD-202507-074,0.1228929
CNNVD-202507-073,0.1862306
