BDU,VEDAS
BDU:2014-00433,-2.1000000000048757e-06
BDU:2015-00092,0.0
BDU:2014-00439,-5.100000000035632e-06
BDU:2015-00091,0.0
BDU:2014-00170,-1.4999999999876223e-06
BDU:2015-00093,0.0
BDU:2014-00435,-2.2000000000077513e-06
BDU:2014-00277,-1.4999999999876223e-06
BDU:2014-00100,-1.5000000000986446e-06
BDU:2015-00095,-3.000000000086267e-07
BDU:2014-00338,0.0021333000000000046
BDU:2014-00333,0.0
BDU:2014-00143,0.0
BDU:2014-00093,-6.010000000000737e-05
BDU:2014-00098,-2.1000000000048757e-06
BDU:2014-00091,-6.049999999996336e-05
BDU:2014-00312,0.0
BDU:2014-00341,-2.2000000000077513e-06
BDU:2014-00334,-6.060000000002175e-05
BDU:2014-00183,-4.0000000001150227e-07
BDU:2014-00404,0.0
BDU:2014-00270,0.0
BDU:2014-00146,-1.5999999999349868e-06
BDU:2014-00155,-5.000000000143778e-07
BDU:2014-00164,0.0
BDU:2014-00336,-6.060000000002175e-05
BDU:2014-00176,0.0
BDU:2014-00171,0.0
BDU:2014-00445,-1.4999999999876223e-06
BDU:2014-00169,-4.0000000001150227e-07
BDU:2014-00175,-6.000000000172534e-07
BDU:2014-00173,-6.000000000172534e-07
BDU:2014-00184,4.0000000001150227e-07
BDU:2014-00331,-5.999999999617422e-07
BDU:2014-00181,0.0
